index,author,location,date,headline,review_body,review_rating,num_like,language,itemName
10,Miro Budos,unknown,2022-05-30T14:12:04.000Z,Regular user,"Regular user. I am using booking on regular basis for a long time and I am surprised by the amount of negative reviews here. My experience was always good, no complain about anything. If the property is not a top notch, I do not think this is issue of the booking platform. I am not giving a full 5 stars, because I do not have experience with their customer service, which seems to be the worst part of their business.",4,0,en,Bookingstar2345
11,Stephan B,unknown,2022-05-26T13:15:22.000Z,No customer service number online,"Ok company for travels and stays, but but taxis/transfers is a nightmare.1 out of 2 does not show. Super hard to retrieve and any changes are virtually impossible in the help maze.No way to contact by phone, the bot does not even recognise the dialpad. A nightmare, I had to contact the provider direct. My last time using their taxi service.",2,0,en,Bookingstar2345
12,ALAN,unknown,2022-05-25T15:15:06.000Z,Zero Customer Service,"When it go right it is great, but when things go wrong there is zero customer service. Just been told there is no formal complain process from one of their customer assistants. Confirmation of the price of the hotel given in sterling but was charged in euro's causing fees by bank. There was no warning that the fees could be in a different currency.",2,1,en,Bookingstar2345
13,Elwood Fitton,unknown,2022-05-23T12:47:30.000Z,Play Spot the T&Cs,"They no longer clearly display the conditions of booking next to the booking. You have to open a link to a spearate window, and then they use vague mis-leading language on the booking page. I wanted a no-deposit, pay on arrival booking, make my life easier for logistical reasons. The booking is non-refunable, and non-amendable, so I provide my card details, and within the hour they are trying to take full payment.",2,0,en,Bookingstar2345
14,Silvia Nogaro,unknown,2022-05-23T11:06:23.000Z,Impossible communication with the company,The booking went smooth. But I have a problem with my account and there is no way to communicate with the company (only FAQ). I previously had an account and reached a certain level but with my latest booking that account does not exist anymore and I am considered new and I have to start all over again gaining new points. Strange and unfair!,2,1,en,Bookingstar2345
15,Jason,unknown,2022-05-22T12:56:42.000Z,Easy bookings,"Easy bookings, great connectivity between app and website.",5,0,en,Bookingstar2345
16,Nick Anstey,unknown,2022-05-22T10:36:53.000Z,I often stay at the Pine Lodge…,"I often stay at the Pine Lodge Guesthouse Hotel in Newquay. The rooms are impeccably clean and fresh. The decor is calming, tasteful, and adds to the quality feel of the environment. Ash and Leah, the managers, are truly welcoming and friendly hosts. (..If you need some high end surfing tips?.. Ash is the man..Check out the pic on the bar wall of him riding the waves in the Maldives). Breakfast is served in a bright airy dining room and the beds are very comfortable for a good night's sleep. And on sunnier days there a pool to take a dip in. Superb is the word. 👍",5,0,en,Bookingstar2345
17,f bisschop,unknown,2022-05-21T20:27:39.000Z,Great room clean and very nice people,Great room clean and very nice people,5,0,en,Bookingstar2345
18,Jill Rooney,unknown,2022-05-18T15:43:41.000Z,Great customer service,"I have booked through booking.com several times. In 2021 I booked an apartment  for 2 nights. The booking was cancelled without reason by the apartment  owners. The owners pocketed our money and would not respond to us at all, or to booking. Booking were supportive. They told us we had to go through the procedure through our bank card. We did this and the bank (Santander) were absolutely  appalling. They put every obstacle they could between us and a refund. We couldn't contact them, the website did not work, we had to send papers by post. I could not find an address for this, the address to where we sent the papers did not seem to exist. They lost our details, told us they were filled in wrongly, etc etc until months had gone by. In the end they refused us the refund (too much time  had elapsed!) Then they refused our appeal. At this point Booking could step in. The woman on the phone (answered quickly, by a human being!) was lovely. She knew what to do. Booking refunded us in 24 hours. Santander, we are closing our account. Booking, I will continue to use you. Ps. The apartments  went bust. Good.",5,0,en,Bookingstar2345
19,Ado Bernasconi,unknown,2022-05-18T08:06:14.000Z,Good things to say.,"Booking.com has always made it simple for me to rebook any reservations I've made via them. Since then, I've had nothing but good things to say.",4,0,en,Bookingstar2345
20,Tiana Hunte,unknown,2022-05-16T11:43:54.000Z,cleanliness needs to be looked into,"i am a room attendant at a hotel and when i checked into this room i could tell it wasn’t cleaned properly or checked by a supervisor, i had to redo the beds and refill the towels i found bottle tops in the draws the telephone handset was filthy and mirrors in bathroom not clean neither was the glasses in the bathroom i didn’t complain as i just cleaned it myself but cleanliness needs to be a top priority and something the hotel should look into",3,0,en,Bookingstar2345
21,Ang Brager,unknown,2022-05-16T09:30:36.000Z,Clear and transparent.,"I have been using Booking.com for 2 years, and everything is on the right track. I have no problems whatsoever. Maybe because I always made sure that my transactions were clear and transparent.",5,0,en,Bookingstar2345
22,Jon B,unknown,2022-05-14T09:36:12.000Z,Used for all our holidays,"Used for all our holidays, as expected no issues for the last few years. Good options available. Haven’t had to contact customer service.",5,0,en,Bookingstar2345
23,Reece Owens,unknown,2022-05-14T04:52:30.000Z,Amazing All-Round,Amazing All-Round,5,0,en,Bookingstar2345
24,Gnizla Gnizla,unknown,2022-05-14T00:12:01.000Z,Always had an excellent experience with…,"Always had an excellent experience with this company: when they get something wrong they fix it for you whether it's their fault or the hotel's owners there is a slight surcharge in price, but it's worth it for the customer service they provide. This company deserves a much higher trust rating than it currently has. It is currently on the same level of online fake booking agencies...",5,0,en,Bookingstar2345
25,Mike Powell,unknown,2022-05-13T00:12:43.000Z,Very disappointed,"OMG. I am indifferent to reviews & rarely read other people's. I tell myself I should before booking and after reading reviews here for Booking.com & Hotels.com I certainly will in future. Our first problem came when we arrived at the Holiday Inn Express at Nogales, Arizona. Our party of 6 decided to check in early then go out. When we arrived we were double booked by Booking.com. Apparently they had oversold the rooms allocated to them & we were going to be bounced to a local Best Western. Not the end of the world but we decided 'Sod it, we booked the HIE & we are staying in the HIE. We were told the Booking.com should have advised us ahead of us arriving. The reception were understanding, uncomplimentary about the agent & happily found rooms for us after a bit of negotiation. We moved on from Nogales to Sierra Vista after two days & stayed at the Magnuson Hotel, rated at 8.4. How on earth it got a rating of 8.4 is anyones guess. I rated it as a 2, & my companions thought that was generous. It really was the low point of an otherwise great trip to SE Arizona. It seems both the two big 3rd party booking agents are badly rated at more than 60% cr#p. Doubt I will ever use them again. Book direct seems to be the best option going forward.",2,0,en,Bookingstar2345
26,Berry,unknown,2022-05-12T16:45:15.000Z,Najoua is the best receptionist,"Najoua is the best receptionist, and soulaimane he’s with us all the time.",5,0,en,Bookingstar2345
27,Customer,unknown,2022-05-10T12:13:50.000Z,Website does not accurately reflect hotel facilities,"We booked a hotel In Munich through Booking.Com for a weekend break. Due to flight times and knowing the City would be very busy, we wanted a hotel that had a bar and a restaurant.   On our arrival we asked to eat in the restaurant, only to be informed that the hotel restaurant was closed and only the breakfast service was being provided.   It was obvious that this had been the case for some time as the staff seemed very embarrassed at having to tell arriving guests this.   We then went to get a drink in the hotel bar only to be told that it too was closed.  As there was no lounge for residents we had to go looking for a bar needless to say on a Friday night they were all full and we ended up having to go back to our room.   No minibar drinks except water or juice and only a nespresso machine with very limited choice.  The next day we saw happy hour in the hotel bar advertised in the lift so we planned to go, only to find that evening that the bar was in darkness again.  Staff advised that the bar was closed and had not been open for some time.  Whilst apologetic they could not offer any drinks or even a hot chocolate to guests.    Booking.com advertise this hotel as having a great restaurant and all 4 star facilities it actually was on a par with a 2 star hotel in terms of facilities available.  Booking.com clearly do not verify any of the information provided by their hotels.  This spoiled our break, as we like to have a relaxing drink in a hotel bar at the beginning and/ or end of an evening and this was not possible.  We would not have selected this hotel had Booking.Com’s advertising been accurate and not so misleading.",2,1,en,Bookingstar2345
28,Aine Power,unknown,2022-05-09T18:42:16.000Z,They are quite good if you are not…,They are quite good if you are not booking flights with them.I always read the T/Cs and always have contact with the accommodation at least a week before I book in. Do your research.,4,0,en,Bookingstar2345
29,Cosmin Hall,unknown,2022-05-09T10:24:36.000Z,They're not very accommodating.,"When it comes to refunds, they're not very accommodating.",3,0,en,Bookingstar2345
30,patricia stevenson,unknown,2022-05-09T08:38:17.000Z,Autum heights Telford just stayed here…,Autum heights Telford just stayed here very nice but need handles in bath room health and safety hard to get in and out of shower also blinds on all windows full length u r in a fish bowl it looks over houses who can see in every room,4,0,en,Bookingstar2345
31,A.M,unknown,2022-05-07T19:53:31.000Z,Unprofessional Hotel but Good customer service from booking.com,Contracted COVID-19 and was receiving threatening and aggressive messages from the hotel we were due to stay at after we informed them that we would not be staying as they wanted to offer the room to someone else and we had not cancelled. Spoke to Puneet at customer services who fought our case and was very kind and considerate throughout. Very helpful and worth the short wait.,5,0,en,Bookingstar2345
32,Uorsin Mitchell,unknown,2022-05-05T07:58:23.000Z,Thank you very much for your help!,I'd want to express my gratitude to the member of customer care who helped me rebook my reservation the day before yesterday. Thank you very much for your help!,4,0,en,Bookingstar2345
33,Reza,unknown,2022-05-04T13:21:37.000Z,Thanks to all customer service staff who helped me.,I was a bit apprehensive after seeing so many bad reviews but I have to say my experience with them was pleasant. We had a problem with the first property I booked just a week before my flight. Basically the apartment owner did not honour the confirmed date and wanted us to find another place for the first 5 days. Booking.come intervened and gave the owner 24 hours to resolve the issue. When he failed they found me and alternative place which was more expensive. I came back 4 days ago and had an invoice from the second property. I sent it to them and got the difference reimbursed in less than a day from the time I emailed them. My only complain is I could not find the customer service contact number in their website and had to do a bit search.,5,0,en,Bookingstar2345
34,mark smolders,unknown,2022-05-03T09:57:44.000Z,Use it for orientation only not for booking.,"We used booking.com on various locations and most of the time it worked well.However as soon as you get conned as was the case with us with Hotel Residenza Sole in Amalfi Italy, you are pretty much on your own.They hide behind the fact that the hotel makes the payment rules but meanwhile make money from the transaction.bookin.com is nice to find and locate hotels but do NOT make bookings or payments with them.It’s unnecessary also, rooms are never fully booked and its better to check on site if the place is ok.It’s also cheaper.",2,0,en,Bookingstar2345
35,Addy Rodríguez,unknown,2022-05-03T09:00:30.000Z,Booking.com is used by everyone.,"Booking.com is used by everyone. Let's face it, it's valuable in so many different ways.",5,0,en,Bookingstar2345
36,Patricia Toporcov,unknown,2022-04-30T08:03:17.000Z,I always used Booking.com but customer service by having problems is terrible,"I always used Booking.com , until I made a resrvation in a hotel and when I got there, the room was used, with dirt sheets, dirt sink, trash in the garbage. I complaint in the front desk and they said I could leave, that money would ve refunded.it was about two months ago. Summary is that Booking says they can not refund because the hotel is not answering them. I asked about the hitel deadline to answer and they said there is none. After two months, I can not contact booking via my reservation link and when I call them and type the reservation number, they drop my call. I am a premium user and I have no assistance. Terrible customer service. By the way, they told they have many complain pending about the hotel and I asked to pause the hotel, but of course Booking does not want to, whule users get problems meanwhile.",2,1,en,Bookingstar2345
37,Ali A,unknown,2022-04-29T19:14:34.000Z,Good service provider overall,Good service provider,4,0,en,Bookingstar2345
38,Alan Dugmore,unknown,2022-04-29T12:39:17.000Z,Had to cancel booking at short notice…,Had to cancel booking at short notice but was given a full refund excellent service will use for all future hotel bookings highly recommended,5,0,en,Bookingstar2345
39,Elina Larsen,unknown,2022-04-29T09:24:58.337Z,Thank you very much for all of your assistance!,"When I had to reschedule my trip because of an unexpected circumstance, their customer service representatives assisted me in the most expedient way possible. Thank you very much for all of your assistance!",5,0,en,Bookingstar2345
40,Heather Turnbull,unknown,2022-04-28T22:32:52.470Z,ALL GOOD,Never had any problems at all in the 6 years I've been with them. Any problems (there have been one or two) were solved immediately and to my great satisfaction.,5,0,en,Bookingstar2345
41,Margaret,unknown,2022-04-27T21:31:28.424Z,Delightful stay at Dove House,Delightful stay at Dove House. We stayed here whilst attending a wedding locally and couldn’t have chosen better. Absolutely every need catered for in this Little aelf Contained apartment and the best bed we’ve ever slept in! Sandra the host has created a beautiful relaxing space and we wanted for nothing!,5,0,en,Bookingstar2345
42,Rosey V,unknown,2022-04-27T09:12:35.173Z,User friendly,"I find Booking.com to be hands down the most user friendly hotel booking site. They've been great for booking hotels and hostels overseas, in the US from the UK, in Australia, and in Australia from the UK. I've found all reviews on the site to be very accurate and a good guide for booking. I've just seen I'm able to book International flights through them too, and considering that at the moment.",5,0,en,Bookingstar2345
43,max,unknown,2022-04-26T16:58:03.651Z,Fair play to booking.com,"I got into a situation where an advert for 1 PH HOTEL DE ENTRE in amsterdam refused me and my partner entry on Easter Sunday when we had booked in advance. We were both 20 and had to be 21 to check in apparently. I don't usually miss little details when booking places. It later transpired, after booking.com were very helpful, that the hotel had changed their restrictions to try to scam young people. I reported the matter to booking.com whom were happy to help straight away and pushed for the refund from the hotel. The hotel looked horrible anyway and was terrible service. Fair play to booking.com for getting us our refund. steer clear of PH HOTEL DE ENTREE.P.SMuhammed from booking.com is a very good man",5,0,en,Bookingstar2345
44,Harper Griffiths,unknown,2022-04-26T12:30:56.860Z,Booking.com is a site that I think is very good.,"I think this is very simple and easy to use, and I always get good prices when I book here. Booking.com is a site that I think is very good.",5,0,en,Bookingstar2345
45,Bram Tijmons,unknown,2022-04-25T19:58:02.350Z,How to make customer service not great,1. It's hard to find customer service phone number on your website. You've to Google it to find it. 2. During the phone call I had to press my confirmation number + pincode at two different times. When I got someone on the line I had to do it for the third time. Really? So unneccesary. The lady on the line was very nice though and my request was processed super fast. So 3 stars.,3,0,en,Bookingstar2345
46,Andrea,unknown,2022-04-24T15:19:37.247Z,"Ordered an hotel for the first time, good overall","I never used this site, I prefer to call places by myself (and I found out they ask a LOT of money to the hotels if they use Booking... I won't tell you the percentage but it's cringe).Anyway I have to review my experience so, it went good overall. The hotel was ready and all the informations I put in booking were useful to the hotel.Had a good experience with them and without problems.",4,0,en,Bookingstar2345
47,Gina,unknown,2022-04-24T11:41:25.240Z,Deep Earth Villa,"Stayed at Deep Earth Villa, from 6th-10th March 2022, with family of 7We had 2 bed villa with hot tub & 1 bed villa with hot tub. Such a stunning villa( “all mod cons”) decor was perfect to my high standards. I would highly recommended you staying here. Jacob is a fantastic host, can arrange anything from transfers from Airports to villa, arranging tours etc, and also very good at recommending good restaurants to eat at, and then booking tables for us, found Jacob very helpful ( excellent host) All the staff at Deep Earth villa are very welcoming and friendly.Breakfast was very tasty & very generous on amount they give you. Our villa was cleaned daily to a high standard ( Christina very thoughtful lady) will definitely come back Deep Earth villa next year 2023, If your thinking of staying in Exo Gonia Deep Earth villa is the one. Thank you for making our santorini experience so memorable .",5,0,en,Bookingstar2345
48,zuey but,unknown,2022-04-23T23:12:43.540Z,Reliable and decent website,"I have been using booking.com for years and never have any issues. I would still check other websites since it can match prices if the other website offer lower price, having said that they don't always agree. In addition, with genius discount, their rate is usually not too bad.",4,0,en,Bookingstar2345
49,W,unknown,2022-04-23T20:20:27.655Z,Terrible terrible terrible,"I really hate this site. Customer service is the worst. I lost quite some money and security because of slow and highly inadequate responses. Also, they let you book accommodations, only to turn out that you didn't book it at all because the property only accept Colombian bank transfers to secure the booking!",2,1,en,Bookingstar2345
50,Gavin,unknown,2022-04-21T12:59:22.024Z,Better than hotels.com quicker response…,Better than hotels.com quicker response time and more efficient but still has technical glitches where I've been charged twice,2,0,en,Bookingstar2345
51,Derek,unknown,2022-04-20T17:30:36.128Z,In December last year I was on holiday…,"In December last year I was on holiday with my daughter who lives in the US. We took her to Vegas for Christmas but the return flight (with Spirit airlines) was cancelled by them due to staff issues and COVID. At the time we were offered alternate flights that would have been after we returned to the UK. We were told at the time we would be refunded.Complaining to Spirit ended with the offer of some vopuchers that would expire very soon (so useless as not a US resident).  Complaining to  Booking.com resulted in a refusal to deal with the complaint and referral back to spirit who now will not talk to me as the booking was made ion a different email address to my own.Repeated calls to their customer service line only had the same result. I have to sort this out with the airline who repeatidly refuse to deal with me as the booking was made on my behalf by booking.com.Despite repeated attempts all I get back is circular arguements, referrals to another body, Indian customer service agents who are unable to help. Each email results in n auto-reply which is pointless.I will NEVER book another flight with them again. They are completely disinterested in providing any form of support or resolution.",2,0,en,Bookingstar2345
52,Slavomir Bianchi,unknown,2022-04-20T09:14:32.210Z,Haven't had any problems with it yet.,"Booking.com has been used by me twice now, and I'm happy with the way things are going. More flexible and a nice site where you can find great apartments. Sometimes customer service could be better but I haven't had any problems with it yet.",5,0,en,Bookingstar2345
53,Joyce Jenkyns,unknown,2022-04-17T09:07:40.000Z,Scott Arms breakfast is the best one…,Scott Arms breakfast is the best one around. Service is very quick. Staff are very attentive.,5,0,en,Bookingstar2345
54,Mr Clayton Churchill,unknown,2022-04-16T08:52:06.000Z,Booking.com,"Booking.com, I booked a hotel in Cartagena Colombia and the price on the screen when I booked was £450, they confirmed the booking in peso which after it was to late I found out it was actually £650, it is not nice when big companies find clever ways to rip you off, it wouldn't of been so bad if the hotel was worth it but it wasn't!!!, I could of found something much better.",2,0,en,Bookingstar2345
55,Ali_r,unknown,2022-04-15T07:38:39.000Z,Excellent customer service,I have nothing but praise for this company.  We have had to cancel a recent discounted (non refundable) booking because of Covid and they were able to get us a full refund. They are also just really good at allowing cancellations and rebooking.,5,0,en,Bookingstar2345
56,heer  Ayubzadeh,unknown,2022-04-15T05:46:10.000Z,Misleading & hidden information by cancelation,"I booked a hotel and flight package through boking.com but it was handled by thir partner lastminute.com and I was able to cancel the hotel for free until April 15, 2022 so I asked to cancel it but the partner from booking.com brought charged me as hotel commission of 94 euros. This hidden information cannot be found and I have called booking.com many times and they just redirect me to lastminute.com and lastminute.com doesn't want to solve this problem either. I told booking.com that they are responsible for this deceptive action, but they don't want to do anything about it.",2,0,en,Bookingstar2345
57,Kevin Maykut,unknown,2022-04-14T12:08:17.000Z,Booking.com is Absolutely Amazing,Booking.com is absolutely amazing. I've been using this company for years without fail. Recently I had a pandemic related issue with a hotel and booking.com supported me whole heartedly and rectified the situation which resulted in me getting my money back. I would highly recommend booking.com!,5,0,en,Bookingstar2345
58,lesley parton,unknown,2022-04-12T21:50:45.000Z,My experience of booking.com was…,My experience of booking.com was average the caravan was in rhyl and the owners were lovely they went out of there way to try and make everything as good as they could.The caravan site could of been cleaner cigarette butt's everywhere.,3,0,en,Bookingstar2345
59,PK ramsden,unknown,2022-04-12T10:52:51.000Z,"Beware currency exchange charges on ""free cancellation""","I think people should be aware that when you book hotels on Booking.com whose prices  are advertised in foreign currency, and it says free cancellation, if you pay by visa or any other card I suspect, and you cancel, you won't get back what they've already taken because the card company will charge you a transfer fee of about 3% of what you've paid out.This doesnt happen with Airbnb as they akways quote in your own currency or don't take the money till they say they will.I had to complain to Booking. Com. who eventually sent me a complimentary payment but this was only after I threatened never to use thrm again.",3,0,en,Bookingstar2345
60,Thato,unknown,2022-04-12T05:21:19.000Z,Great Customer Service to Jim L.,Jim L. from Customer Service was very helpful and gave me all the information I needed regarding payment for my booking. Excellent service!!! I would recommend Bookings.com to anyone.,5,0,en,Bookingstar2345
61,N Karimova,unknown,2022-04-11T11:27:18.000Z,None of the phone numbers online work…,"None of the phone numbers online work until you give them a confirmation booking number and 4 digit pin code. I was never sent those even when I several times clicked to resend it. Same online help I'm being asked those details before I can chat to them. I want to amend my booking. I paid, money went out on 23rd of March. Why is it not showing under my bookings? Can someone please call me?",3,0,en,Bookingstar2345
62,Kate ,unknown,2022-04-09T21:09:23.000Z,Rip off fees.,"I've used booking.com SO MANY times for convenience. However when booking our latest hotel in rural Victoria (Australia) the exact same room was $518 on their website but just $386 when booking direct with the hotel. If they're the kind of fees that they're adding on to bookings then I'll never be using them again other than to find potential availability. (My 'genius' level appears to have been reset this week for no apparent reason, too.)",2,0,en,Bookingstar2345
63,Nino Benedicto,unknown,2022-04-09T14:19:39.000Z,Value for money and Good services,Ive been with them for a long time and it doesnt fail to meet my expectation,5,0,en,Bookingstar2345
64,Paul,unknown,2022-04-08T14:05:59.000Z,I may still have to use them in the future but won't trust them,"I have used booking.com for many years both for accommodation research and making some 25 or so bookings. The majority of the bookings have been absolutely fine. In fact I have only had serious problems requiring contact with customer services for two bookings over the years and yet these experiences have left me giving such a poor trust score. How come?The first problem was in 2017 which was a last minute booking for two rooms in a hotel in Sweden. The confirmation email stated that I should pay the hotel in full on arrival. We did that. We discovered later that booking.com had also taken full payment on my credit card (at the point of booking). So I had paid twice - a simple error to resolve I thought, and yet it took 3 weeks of an absurdly extended and frustrating correspondence. The credit card company suggested that I attempt to resolve it directly first, and keep a record along the way, before they would step in. Booking.com doesn't make it easy to download chat exchanges, and I had to take screenshots to capture the evidence.The ""chat"" experience with customer services was beyond frustrating. They started off pretending not to understand the problem then they 'blamed' me suggesting that as I had booked two rooms I should expect to pay double! Then they started asking (repeatedly) for a mass of information (credit card transaction records, emails) that were either unnecessary or in their possession already. Then finally they decided it was the hotel's fault. I contacted the hotel and they arranged a credit within a couple of days and suggested I book directly with them in future.More recently (2022), I booked a hotel in London during which the advertised room rate I selected on the booking.com website was stated to include ""all taxes and charges"". Yet when I scrolled down to click the confirmation button I noticed that the price had increased by an additional ""12.5% V.A.T. (Value Added Tax)"" In my mind this must have been an error, and easily resolvable if not an error then it was clearly a deceptive or misleading advertising practice. The message exchange with customer services followed precisely the same frustrating trajectory as the earlier complaint of years before, going round in circles for weeks.  They undertook a full investigation and concluded (and I have it in writing) that there was no error with the pricing information provided to me during the booking process. Other commentators have mentioned the (lack of) reliability of hotel reviews on the site. Personally, I find the reviews much less helpful than TripAdvisor and so I don't generally read or write them any more. But I have recently written a negative but honest review for a hotel and will be watching carefully to see if it gets deleted. So, I am left with little trust or faith in this company. I no longer use it for research as there are now better alternatives. As a Genius Level 2 member, there might be times in future when booking.com is the cheapest method to book and so I won't be closing my account in a hurry. But I will be watching my credit card transactions live and reading the small print during every booking I make with them in future ... anything to avoid dealing with customer services ever again.",2,0,en,Bookingstar2345
65,Thea Monsion,unknown,2022-04-07T16:26:59.000Z,Avoid this site and save yourself the trouble,I can't even explain how terrible my experience we had. Just know they aren't worth the trouble.,2,1,en,Bookingstar2345
66,TG,unknown,2022-04-05T16:58:37.000Z,Total rip off,"I had a horrible experience with a rental apartment I booked via the platform. Booking.com did not help me get my money back, did not take the listing from their website and did not let me leave a bad review.The apartment was freezing cold, shabby, and dark. The hosts left me dirty, wet towels! Not a single dry clean towel. No warm blankets in winter. No hot water in the bathroom! I was told it might take a while for it to get heated! There was no kitchenware in the kitchen. To top it all I was warned that there was a persistent danger of the front door lock getting jammed. It did as soon as I got inside and I was locked indoors. I had to retrieve a spare key from a safety box on the window and ended up hurting my head as a result of climbing on the window. I had booked the apartment for a medical trip. The host refused to give me my money back even though I had to sleep at alternative accommodation. The people who offer this apartment are scammers and they deliberately ask for a full prepayment upfront, so they can keep your money in exchange for a downright disgusting level of service.The customer service agent I spoke to was wonderful and extremely compassionate, but ultimately I feel ripped off. I got a pathetically poor experience and never got a refund or any compensation. it completely ruined previously good experiences I've had with the platform.",2,0,en,Bookingstar2345
67,Peter Anslow,unknown,2022-04-04T20:39:34.000Z,Upgraded without knowing,"Been with them for a while. Looking through my next booking I had a look at the upgrade options. Little did I know that I was automatically upgraded and I couldn't go back to the original booking, so I had to cancel. When I tried to rebook, the price had gone up by £94 without the option to go back to my original booking. Will never use them again.",2,2,en,Bookingstar2345
68,Caesar Morales,unknown,2022-04-04T13:22:02.000Z,Booking.com cheats prices,"Booking.com will list one price for motel and hotel rooms on their site and then charge you a higher price, this is not including taxes. They won't show you the final price until you've completed the booking and that's when you'll notice that they'll charge you $20-$30 more than what was listed. For example, they listed a Super 8 motel for $62 a night (excluding taxes) and when I completed my booking they ended up charging me $94 a night. Even with taxes, the $62 a night room should have only come out to about $70 total. Stick to Priceline or Hotels.com. I've never had a problem with them and the prices don't change in the two minutes it takes to fill out the reservation info.",2,1,en,Bookingstar2345
69,Georgia mac,unknown,2022-04-03T09:58:20.000Z,non pet friendly pet friendly hotel,"Two stars at this time, subject to update. Search for a pet-friendly hotel, reviewed the results, chose a hotel. turns out, it's not pet friendly! I would advise anyone looking to take a pet, to ignore this website and try to contact the hotel directly.",2,0,en,Bookingstar2345
