index,author,location,date,headline,review_body,review_rating,num_like,language,itemName
35,Hale,unknown,2022-06-04T17:43:23.000Z,The worst company I have ever dealt…,The worst company I have ever dealt with. Charged me twice and when I booked. When I rang it took 2 hours and being hung up on 4 times to request a simple email confirming that they took payment twice. Manager was never “available” absolute ridiculously bad company,1,0,en,Bookingstar1
36,Mark O'Keeffe,unknown,2022-06-04T14:52:44.000Z,If it was possible to give less than 1…,"If it was possible to give less than 1 star I would worst customer service I've ever experienced. I travelled to Alicante Spain during April and stayed in Amorales Luxury Beachfront Apartments.  I was granted a refund of 186.43 from the property owner because the swimming pool in the complex was closed for our entire stay. The refund was to be refunded by booking.com as I had used them to make the reservation, this was well over a month ago and I still have not received it.  I phoned Booking.com five times, was placed on hold for an average of 20 minutes each time and only to discover after 37 minutes that there is nothing they can do to help resolve this. They keep giving me the run around blaming their finance department I feel as though they are trying to make me give up on receiving the refund so they can keep it. The customer service is horrific, please stay well away from this company. Find the hotel on their website and contact the hotel or accommodation directly it will work out cheaper and should any problems arise you wont have to deal with booking.com hope this will help.",1,0,en,Bookingstar1
37,Yulanda Venable,unknown,2022-06-04T14:34:26.000Z,Towed Car,"I booked a room using Booking.com. Worse mistake of my life. I went to Virginia Beach on 05/26/22-05/28/22. I went so my daughter could have a play date. I was supposed to relax and chill. Checked in at Ocean Resort had upfront parking. Hotel wasn’t what the image appeared, but I was willing to over look that. At the time of the booking it said they had vending machines not just soda machines and breakfast lies and more lies. I stayed in my room and didn’t move my car. Ooh the pool was indoor but out the door and the temperature wasn’t right. Too cold to be an indoor pool. So when my fault and her friend came to me  cause she stayed in another hotel we decided to go to an arcade. We walked. Well my son and I stepped out to get some air for a second and noticed a car that looked like mine being towed down the street. And I read the tags. It was my car. I was furious. I had to stop what I was doing and run back to the hotel. I get there and ask why? They say I didn’t have a parking permit. I tell them they never gave me one run the camera back . And they see I’m not lying call the tow truck and say it’s going to cost me for him to bring it back. I say have you lost your mind. You stole my car.!!! I did nothing wrong. This is your negligence. And you embarrassed me in front of everyone. They laid for the car. And then the many Tim claimed he would comp. Me something off my room for the inconvenience it has failed to do so. They ruined my trip and humiliated me and I deserve a full refund.",1,0,en,Bookingstar1
38,Hamed H,unknown,2022-06-04T14:31:32.000Z,BE AWARE BEFORE USING BOOKING.COM,"I have been a customer of Booking.com for several years and have high ranking in their system. The main reason I have been using them is that I have a back up if anything goes wrong. I WAS WRONG. The hotel that I had confirmed booking with through booking.com sent me a message that my booking is “already” cancelled. Without greetings, explanation or apologies. I contacted Booking.com three times and spent more than 1hr over phone. The resolution they offered after 24hr and few hours after start of my supposed booking was:1-YOU WOULD RECEIVE FULL REFUND WITHOUT CHARGES =))2-GO AHEAD AND MAKE A NEW BOOKING!! This is when prices were 4times more than when I originally booked. If you are planning for your trip and wanted to avoid surprise please avoid using this website. They failed to deliver what I thought would differentiate them from a middle man!",1,0,en,Bookingstar1
39,Vector DC,unknown,2022-06-04T14:29:40.000Z,Read the small print or your screwed,I’m appalled by the fact important information regarding security deposits and phot identification is left to the small print of terms and conditionsAsking for ALL guests to provide identification is ridiculous as I was the one booking and therefore my identification should be enough To then also ask for £150 as a security deposit after the booking is completed is outrageous and we will be taking booking.com to a small claims court regarding this. This has ruined our get away and you have stolen £270.50 from us as we were unable to provide a security deposit so you think it’s reasonable to keep all of our money I truly hope you resolve this satisfactorily before I have to initiate a small claims court to handle it,1,0,en,Bookingstar1
40,Mark G,unknown,2022-06-04T14:21:07.000Z,Booking.com taxi service - no show at JFK,"I used Booking.com taxi service to book a pick up at JFK New York off a late flight landing at 11:10 pmBooking.com commits to an in terminal pick up by a driver holding a sign with your name. I also paid extra for an executive car i.e. Mercedes’ or similar. Cost £100+Instead I got a Whatsapp from a driver who when I called said I had to go and find him at zone D in the pick up area. No directions.Then he wasn’t there and after several calls I had to make he said he was on his way but in traffic.I wasted about an hour all in all and when I called booking.com they said they couldn’t get an answer from the cab company “snagride” and could only offer to cancel my booking.I cancelled and took a yellow cab into Manhattan. USD 52 plus tolls and tip USD 67 total. Clean air conditioned cab. Lovely driver. No issues.I will never book a car with Booking.com again. Useless. Also no accident, the driver never planned to deliver the Service I paid for. He said too difficult to hang around in the airport. No quality control. No written apology.The Booking.com agent promised to pay my cab fare as compensation and as an apology. I emailed the receipt with the booking reference as requested.A week later the only reply I have is the automated email.The facts speak for themselves.",1,0,en,Bookingstar1
41,Zoe Rayner,unknown,2022-06-04T12:55:02.000Z,My account has been a victim of fraud…,My account has been a victim of fraud twice now!! Two bookings have been made not by me. Luckily I was able to cancel them quickly but after the first time I changed my passwords etc and then it happened again!! Furthermore Booking.com are a nightmare to contact about his and so I've just deleted my account. Not a trustworthy site!!,1,0,en,Bookingstar1
42,Philip Knock,unknown,2022-06-04T12:39:47.000Z,Appalling customer service,Appalling customer service Contacted them about a cancellation where I had been charged. I had already contacted the hotel to no avail They have done nothing and refuse to get involved even though the booking was through themPitiful and shabby,1,0,en,Bookingstar1
43,ilker Sürmeli,unknown,2022-06-04T12:30:14.000Z,There is no way to contact real…,There is no way to contact real customer service anymore. The phone number asks confirmation number to continue which does not continue. They don't answer email,1,0,en,Bookingstar1
44,KALW,unknown,2022-06-04T12:21:02.000Z,This company is a disgrace,"Booking.com used to be a reliable company, but not anymore.  Customer service is non-existent.  The e-mail link to contact them and the property doesn't work. I am getting e-mails with conflicting information on the days we are staying and the price.  We are booked to stay at the property next week and I am now beginning to doubt whether the booking has actually gone through with the correct details and we will arrive to find that the reservation has not been made at all.   I tried phoning the property twice and left an answerphone message but nobody has responded.  A disgusting way to treat customers.",1,0,en,Bookingstar1
45,Joanna Hulme,unknown,2022-06-04T11:44:23.000Z,LONG ONE BUT PLEASE READ AND THINK…,"LONG ONE BUT PLEASE READ AND THINK TWICE. One star is too much!! I was informed the night before our holiday that the address and access details would be given the following day. Morning came round and nothing. I started making calls but no answer. We started to travel to York on the understanding that we would get the info at some point. I called 24 times on one number 8 times on another, but no answer. I left 2 voice mails and sent several messages over the course of our long journey. Still nothing. Then, just before we were meant to be gaining access to the property, I received a call to say there was a technical issue and the property wasn't available. After crying at the woman's monotoned ""I understand how you feel"" I told her that I'd called/messaged numerous times and now I'm in York, on a Jorvic weekend with no accommodation. I was told that I had to find and pay for another accommodation myself. Firstly, we hadn't the money to do this, secondly, I'm spending the first day of my holiday sorting out another property or possibly have to go home. And not least because this was my holiday to celebrate beating cancer. We had saved for months for this and waited for me to be well enough to go. All of it ruined by the stress of having to do this whist supposedly on my holiday. I'm upset and angry and will NEVER use booking.com again!!!!We did find another property after the day was ruined. But at an extra cost of £520 to us.",1,1,en,Bookingstar1
46,Saad Idris,unknown,2022-06-04T11:40:40.000Z,Unbelievably poor service,We have previously booked with booking.com I never had a problem or requirement to call their helpline. However on this occasion when I was talking with my elderly parents the property consent was unable to accommodate us and the house was unresponsive. booking.com were impossible to contact and despite spending over three hours on the phone but I’m willing to book as an alternative place to stay exposing my parents extreme discomfort at temperatures above 35° despite this being pointed out to them. We spoke to 4 members of staff were equally unable to do anything to help us despite being sympathetic the problem lies very much with the company as a wholeAs the agent some cells for sympathetic and trying their best and had policies in place or unable to contact any seniors. This is extremely shocking and mean in the future will no longer be booking with booking.com. My suggestion would be for you to find a hotel by booking.com and then book it through and alternative website over the hotel directly.,1,1,en,Bookingstar1
